"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"159",84,"8:00","Good","Drank coffee",66,"FALSE","FALSE","FALSE","LOW",480
"160",77,"7:46","Good","Drank coffee",61,"FALSE","FALSE","FALSE","LOW",466
"161",85,"7:59","Good","Drank tea",65,"FALSE","FALSE","FALSE","LOW",479
"162",77,"7:33","Good","Drank coffee",57,"FALSE","FALSE","FALSE","LOW",453
"163",87,"8:04","Good","Drank coffee",64,"FALSE","FALSE","FALSE","LOW",484
"164",84,"7:27","Good","Drank coffee:Drank tea",61,"FALSE","FALSE","FALSE","HIGH",447
"165",86,"8:01","Good","Drank tea:Worked out",61,"TRUE","FALSE","FALSE","LOW",481
"166",83,"7:29","Good","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",449
"167",77,"6:46","Good","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",406
"168",81,"7:35","Good","Drank coffee:Worked out",59,"TRUE","FALSE","FALSE","LOW",455
"169",81,"7:47","Good","Drank coffee",58,"FALSE","FALSE","FALSE","LOW",467
"170",83,"7:56","Good","Drank coffee:Stressful day:Worked out",60,"TRUE","TRUE","FALSE","LOW",476
"171",70,"7:40","Good","Drank coffee:Worked out",57,"TRUE","FALSE","FALSE","LOW",460
"172",80,"8:20","Good","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",500
"173",60,"7:22","Good","Drank coffee:Drank tea:Worked out",56,"TRUE","FALSE","FALSE","HIGH",442
"174",55,"6:23","Good","Drank coffee",59,"FALSE","FALSE","FALSE","LOW",383
"175",91,"8:47","Good","Drank coffee",63,"FALSE","FALSE","FALSE","LOW",527
"176",79,"8:08","Good","Drank coffee:Drank tea:Worked out",55,"TRUE","FALSE","FALSE","HIGH",488
"177",81,"8:41","Good","Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","FALSE","HIGH",521
"178",77,"7:29","Good","Drank coffee:Drank tea:Worked out",49,"TRUE","FALSE","FALSE","HIGH",449
"179",83,"7:22","Good","Ate late:Drank coffee:Drank tea:Worked out",61,"TRUE","FALSE","TRUE","HIGH",442
"180",82,"8:02","Good","Drank tea",61,"FALSE","FALSE","FALSE","LOW",482
"181",90,"8:02","Good","Drank tea:Worked out",60,"TRUE","FALSE","FALSE","LOW",482
"182",89,"7:25","Good","Ate late:Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","TRUE","HIGH",445
"183",62,"6:16","Good","Drank coffee:Drank tea:Worked out",55,"TRUE","FALSE","FALSE","HIGH",376
"184",69,"7:17","Good","Drank coffee:Worked out",57,"TRUE","FALSE","FALSE","LOW",437
"185",100,"8:31","Good","Drank coffee:Stressful day",50,"FALSE","TRUE","FALSE","LOW",511
"186",74,"8:01","Good","Ate late:Drank coffee:Drank tea:Worked out",63,"TRUE","FALSE","TRUE","HIGH",481
"187",59,"6:40","Good","Drank coffee:Worked out",61,"TRUE","FALSE","FALSE","LOW",400
"188",13,"1:00","Good","",64,"NA","NA","NA","NA",60
"189",68,"7:40","Good","Drank tea:Worked out",65,"TRUE","FALSE","FALSE","LOW",460
"190",67,"8:08","Good","Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","FALSE","HIGH",488
"191",57,"6:51","Good","Drank coffee:Drank tea",60,"FALSE","FALSE","FALSE","HIGH",411
"192",67,"8:27","Ok","Drank coffee",61,"FALSE","FALSE","FALSE","LOW",507
